platform,press,keyword,comment
news,연합뉴스,이재명,어자피 제2에 이인제에 길을 가겠다는 이준석 ㅋㅋ정말 이씨라는 성은 조선시대 왕족 답네요ㅋㅋ 이성계를 비롯해서. 암은요. 언제 조선이 미국하고 친했나요. 중국 청나라한테 조공 바치었죠 ㅋㅋ 이준석ㅈ에 어시스트로 이재명 대통령되서 남조선민주주의 인민공화국 건설해주세요. 아니면 이재명 표 전부 도둑질해서 김문수에 친마.친일 한미일 공조 강화니켜주시든가요 ㅋㅋ
news,연합뉴스,이재명,에휴...... 이런 진짜 윤석열보다 더하면 더했지.... 나중에 진짜 괴물이 될 사람이네.
news,연합뉴스,이재명,이런 얘들 한국 사회에서 안 봤으면 좋겠다한국이 망쪼가 들었나 대선에서 저런걸 보다니
news,연합뉴스,이재명,니 얇은 혀로 그 발언할때 니표정을 봐라..표정이 말해준다
news,연합뉴스,이재명,온국민이 시청하는 대선토론회에서 그따위 말을 하는게 맞는거냐 가세연이나 가고 정치 그만둬라
news,연합뉴스,이재명,아빠는 찢고 엄마는 긁고 아들은 쑤시고 잘하는 집안꼴이다 이제 나라는 말아먹겠네?ㅋㅋ
news,연합뉴스,이재명,교감능력 떨어지는 소패인듯.. 왜 국민들이 불편한지 전혀 이해 안되나봐
news,연합뉴스,이재명,좌파 넘들 최근까지 이준석 응원하다....ㅋㅋ 준석이가 강펀치 날리니....와서 연병 들이네...ㅋㅋ..이게 이준석이 욕먹을 일이냐....이재명이 아들 젓가락 세자 이동호가 사죄할 일이지
news,연합뉴스,이재명,인간 같지도 않은 놈아 그게 방송에서. 할 말이냐
news,연합뉴스,이재명,이준석 화이팅....이제 준석이로 결정했다.젊은정치...굿
news,연합뉴스,이재명,좀 떠보겠다고 이딴 저열한 짓을 하냐? 아버지가 정치인이라는 이유로 이재명이라는 이유로 벌금 받고 직장짤린 아들얘기를 대선판에 또 끄집어 내냐. 그도 젊은 청년이다. 청년의 아픔에 이재명 아들은 해당 안되냐? 실력 없는 것들이 꼭 남의 아픔 이용해서 저열하게 공격하지.
news,연합뉴스,이재명,40대 30% 50대 35% 60대 21% ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
news,연합뉴스,이재명,지들 후보한테 관대하고 준석이한테는 엄청 물어 뜯네 ㅋㅋㅋㅋㅋ
