keyword,comment,nouns_adjs
이재명,조작사진 빨리 내릴것 신고 들어가,"['조작', '사진', '것']"
이재명,사진 확대된거 보니까 조작사진이네요,"['사진', '확대', '거', '조작', '사진']"
이재명,멋져요,['멋지']
이재명,다음 대통령은 평양도 프리패스구나,"['다음', '대통령', '평양', '프리', '패스']"
이재명,대놓고,[]
이재명,왜쳐감,[]
이재명,재명이 되면 일단 적화인지 평화인지 모르겠지만 통일은 확정이네,"['재명이', '적화', '평화', '통일', '확정']"
이재명,경기신보 직원들 종용해 김문수에 6000만원 불법 후원 김 후보가 경기도지사 재선에 도전했던 2010년 경기신용보증재단 이하 경기신보 박해진 당시 이사장은 회의 시간에 여러 차례 김문수를 도울 방법을 생각해보라 고 말했다 당시 언론 보도를 살펴보면 박 이사장은 김 후보와 가까운 관계였다고 한다,"['경기', '신보', '직원', '종', '용해', '김문수', '원', '불법', '후원', '김', '후보', '경기도지사', '재선', '도전', '년', '경기', '신용', '보증', '재단', '이하', '경기', '신보', '박', '해진', '당시', '이사장', '회의', '시간', '차례', '김문수', '방법', '생각', '말', '당시', '언론', '보도', '박', '이사장', '김', '후보', '관계']"
이재명,신고한다,['신고']
이재명,20년째 안 늙음,['년']
이재명,국민연금 개혁만 보면 이준석,"['국민', '연금', '개혁', '이준석']"
이재명,노년층 공약 0개인 이준석이 답임,"['노년', '공약', '개', '이준석', '답']"
이재명,물고기를 직접 잡아서 주지 말고 물고기를 잡는 법을 알려주는게 옳다고 생각합니다 이재명을 뽑으면 국가 부채만 오를 것,"['물고기', '물고기', '법', '것', '옳', '생각', '이재명', '국가', '부채', '것']"
이재명,청년미래적금은 윤석열씩 청년들위한통장 이 있는데 그리고 지금 나라제정이 빛이 많은데 또지원한다고 에효,"['청년', '미래', '적금', '윤석열', '청년', '통장', '나라', '제정', '빛', '많', '지원', '에효']"
이재명,문수는 왜이리 보좌진들이 써준거 같노,"['문수', '보좌진', '거', '같']"
