platform,press,keyword,comment,tokens,score
news,기타,김문수,아무데서나 외모얘기나 하면서 그 어떤 개념도 없던데 직쏘 할머니 제발 애들 안고 사진좀 찍지마시고요 아무리 날씨가 덥다지만 완전 공포영화ㅜ,"['외모', '얘기', '개념', '직소', '할머니', '애', '사진', '찍', '날씨', '덥', '공포', '영화']",-2
news,기타,김문수,설치고 다니며 이상한 소리를 하니 구설수에 오르지.. 그리고 유시민 작가가 대선에 나왔나?,"['설치', '다니', '이상', '소리', '구설수', '오르', '유시민', '작가', '대선', '나오']",0
news,기타,김문수,후보자비방죄.면 김문수 부부는 이미. 국힘과 같이 다 유죄,"['후보자', '비방', '죄', '면', '김문수', '부부', '국', '힘', '유죄']",-5
news,기타,김문수,"유세지원이랍시고 설 씨가 한 말들은,,, 정말 수준 이하더라 진짜 수준 이하더라","['유세', '지원', '설', '수준', '이하', '수준', '이하']",0
news,기타,김문수,유시민 말이 맞는것 같음.,"['유시민', '맞']",0
news,기타,김문수,퍽이나 훌륭해서 노동자 출신이 노조는 과격하고 못생겼다 하셨어요??ㅋㅋㅋㅋㅋ,"['노동자', '출신', '노조', '못생기']",0
news,기타,김문수,어 김문수 인정한다. 당신에게 설난영은 훌륭한 사람일 수 있다. 인정한다. 단 함께 노동운동했던 지금도 노동운동하는 사람들에게 당신과 설난영은 쓰레기로 보인다. 변절자니까. 변절해서 그냥 부부가 조용히 잘 먹고 살면 걍 무시하고 말지. 변절자가 거꾸로 자기들 젊음을 담았던 곳에 대해 보수보다 더 지독하게 욕하니까 쓰레기라고 판단하는 유시민과 나머지 권영국에게는 니들이 쓰레기지. 그것도 인정해야지? 서로 인정할건 인정해야지?,"['김문수', '인정', '설', '나', '영', '있', '인정', '노동', '운동', '지금', '노동', '운동', '설', '나', '영', '쓰레기', '보이', '변절자', '변절', '부부', '먹', '살', '무시', '변절자', '젊음', '담', '곳', '보수', '욕하', '쓰레기', '판단', '유시민', '나머지', '권', '영국', '쓰레기', '인정', '인정', '인정']",1
news,기타,김문수,김문수님아 넌 노동운동한다고 너랑 같이 일했던 운동가분들 끌려가서 고문 받을때 넌 조합원 집에서 삼시세끼 꼬박꼬박 챙겨 먹으며 쉬고 있었지. 양심이란게 있냐?? 니 와이프만 귀하고 다른 노동조합원은 뜰려가 고문당하고 취조 당할때 숨어서 밥이 넘어가던. 젊을 때나 늙어서나 참. 국짐당은 종자들은 왜그러냐 정말박종철군은 죽을때까지 이름 안불던 운동권 그놈도 국짐당이라며 이러니 국짐당이 내란당이 된거지 정당해산이 답이다. 그냥 이름만 바꾸는 그런가 말고 정말 정치판에서 발도 못붙이게 처단해야한다,"['김문수', '노동', '운동', '운동가', '끌려가', '고문', '받', '조합원', '집', '삼시세끼', '챙기', '먹', '쉬', '양심', '있', '와이프', '귀하', '노동', '조합원', '뜰려', '고문', '취조', '당하', '숨', '밥', '넘어가', '젊', '늙', '국', '짐', '당', '종자', '그러', '박종철', '죽', '이름', '불', '운동권', '국', '짐', '이러', '국', '짐', '내란', '정당', '해산', '답', '이름', '바꾸', '그렇', '정치판', '발', '붙이', '처단']",-1
news,기타,김문수,"제 아내 설난영 씨는 25세에 세진전자 노조위원장으로 선출될 만큼 똑 부러진 여성이었다 ====================================== 머야.. 이래놓고, 제가 노조할 얼굴이냐고? 노조하면 얼굴이 이상하게 생기지 않았냐는 식으로 말했던 거였음????????????????????????????????????????????????????????????????????????","['아내', '설난영', '세진전자', '노조', '위원장', '선출', '부러지', '여성', '이렇', '노조', '얼굴', '노조', '얼굴', '이상', '생기']",0
news,기타,김문수,굥도리도 쥴리는 훌륭한 마눌이다 했으니,"['굥도리도', '줄리', '마눌']",0
