platform,press,keyword,comment
news,한국경제,이재명,총각행세하며 공짜연애 즐기다 헤어지니 불륜녀에 쌍욕하며 협박한 아버지나 젓가락으로 쑤신다는 아들이나 뭐 다를 게 있나 대한민국이 어디로 가려는지 참담하다
news,한국경제,이재명,정말 어처구니 없는 집안. 집안관리가 먼저인 집안이다.
news,한국경제,이재명,"찢고 쑤시고 찌르는 DNA, 대법원 선고로 이미 피선거권 박탈됐다."
news,한국경제,이재명,빨리 빨리 고발 하시라 !!!!!!!
news,한국경제,이재명,"이재명 후보가 대통된다면 설령 본인은 청렴하여도 그옆,그밑의 친인척들 특히 아들이 백프로 뒤로 호박씨 깔거라본다. 이걸 예상하면서도 뽑는다고?"
news,한국경제,이재명,범죄자가족 우두머리 찢죄명을 대통령 만들겠다는 정신나간 개딸과 그 지지자들은 범죄동조자이다
news,한국경제,이재명,이미 방탄해서 ~ 검증 못할듯. 곧 이재명 대통령!
news,한국경제,이재명,징글징글한 내란당
news,한국경제,이재명,이재명 가족 험담 금지법??? 여기가 독재자 이재명의 나라인가??? 개인을 위한 법이 독재국가 아니고서 만들수 있는법인가???? 민주당 저런법 발의하는것들 민주주의에 대한 모욕이고 즉각 사형시켜라!
news,한국경제,이재명,민주당은 조선시대살고 있네 재명이 상왕이요 교주네 그집 식구들 건드리면 삼족이 멸하는법 만들기세네
news,연합뉴스,이재명,철규 열심히 하네요~~아들네미때문에 정신없을텐데~ㅎㅎ 철규가 아들이 하는 여의도 국밥집 잘되겠당~
news,연합뉴스,이재명,니가 모시던 대통령 윤석열이만 하겠냐???????
news,연합뉴스,이재명,진정성과 신뢰감이 갑니다.김문수 후보님 최선을 다해보세요.
news,연합뉴스,이재명,그런거 없긴 여사부터 입이 방정이고 측근은 정치 후원금 낼름했고 지사시절 법카로 수천만원 상품권 산거 유명하구만. 깨끗하다고 정신승리 극혐
news,연합뉴스,이재명,전광훈 감옥간다고 질질 우는 사람이 허위사실 발표라고 우기는 사람 아닌가 ㅋㅋ ㅋ 지도 거짓은 밥먹듯이 하잖노ㅋㅋㅋ 다 똑같은것들 ㅋㅋ
news,연합뉴스,이재명,"전과자 후보를 감싸고 지지하는 사람들아, 거짓말 제일 잘하기로 소문 난 정치꾼은 누구게? 지난 날은 총각이라고 여자 배우 하나만 속였지만, 만약 대통령이 된다면 국민 전체를 상대로 거짓말을 할까봐 걱정된다."
news,연합뉴스,이재명,거짓말하면 윤석열이지~ 전국민 보는데도 대놓고 거지말하던데 윤석열지지하는 김문수가 할말은 아는듯~
news,연합뉴스,이재명,김구가 중국국적이라 한 김문수는 대한민국에서 추방해야 함.
news,연합뉴스,이재명,그래도 이재명^^
news,연합뉴스,이재명,헬기를 40여회나 타고 다녔던 놈이 칼에 목을 찔려서 응급헬기 한번 탔다고 트집을 잡질않나? 거울좀 봐라!
news,연합뉴스,이재명,단일화한다고하고 유력한 홍과 한을 물리치고 올라온사람이 할소린 아닌듯. 이재명이 무슨거짓말을했는지는 기사에서 본적없지만.
news,연합뉴스,이재명,내란 세력 싸그리 추방합시다~~
news,연합뉴스,이재명,거짓말을 숨쉬듯이 해댄건 너 아니냐? 전광훈이 감방간다고 눈물이 나나고 했던일하며 한두번이 아니었지.갑질에 역사왜곡에... 구역질난다!
news,연합뉴스,이재명,자기고백하냐 김문순대 ㅋㅋㅋ
news,연합뉴스,이재명,이보시요 김문수아자씨 밥도 좀 많이 먹고 살도 찌고 목소리도 힘도있게 키우시요 파리 목소리마냥 엥엥대지말고 누굴 흉보시나요 뭔거짖말을 밥먹듯 한다요 거짖말은 김문수 아닌가요
news,연합뉴스,이재명,거짓말도 적당히해야지... 도지사 김문순대 법카 5천만원으로 뭐 했냐?
news,연합뉴스,이재명,윗물이 더러운 곳에 문수는 아랫물로 있었기에.. 이미 더러워졋다
news,연합뉴스,이재명,"아무리 그럴싸하게 모함을 하고 비방을 해도 결국 당신은 당신네 당의 대표가 말한 바와 같이, 시시하고 보잘것 없는 함량미달의 후보에 불과하므로 빨리 자신을 깨닫기 바랄 뿐이네요!"
news,연합뉴스,이재명,"김문수씨, 댓글 조작에 대해 해명하세요!!!"
news,연합뉴스,이재명,[가칭 손가락혁명군] 이죄명 더듬어만진당 댓글 조작부대들이 가동되기 시작했는가보네.
news,연합뉴스,이재명,거짓말도 적당히해야지..김문수 응원합니다..
news,연합뉴스,이재명,이재명 매력은 살짝 거짓말 하는겁니다.... 문수 영감님 편히 쉬세여~~^^
news,연합뉴스,이재명,손대는 사업마다 말아먹고 말아먹는 비리의혹만 가득한 능력 없는 이죄명 보다 하는 사업마다 크게 성공시키고 발전시키는는 진짜 능력있고 인간미 넘치는 김문수만이 이나라를 독재와 공산화 되기 일보직전에서 구할수있는 유일한 대통령입니다
news,연합뉴스,이재명,"노동운동하다 ~~노동자를 핍박하는, 내란세력의 10써결 정권에서 장관했던 사람이 할소린가? 당신이 장관하면서 노동정책이 후퇴했다는데? 당신도 영원이 퇴출당해야 한다"
news,연합뉴스,이재명,입만 열면 헛소리만 배설하는 문수는...헛소리성애자이신가?
news,연합뉴스,이재명,멀쩡한 이재명씨를 왜 ? 김문수씨 사이비 종교 전광훈에 빠져서 정신까지 놓으셨나봐요
news,연합뉴스,이재명,김문수야 체력 단련해라. 나이 많아도 안봐준다. 겨울철에 감옥가겠는데 많이 춥다. 이전이랑 달라서 사면은 없다. 내란세력 사면하면 나는 다시는 민주당 지지 안한다
news,연합뉴스,이재명,사이비 전광훈이가 왜이리 조용한가? 총리될려고 그런가보지
news,연합뉴스,이재명,"거짓말을 밥먹듯 하는 사람은 김문수 아닌가요? 뭐 깨끗한척을 하고 계시는지..나중에 어떻게 하실려구 이렇게 지나친 발언을 하시는지! 이런상황에 이준수같으면 무고죄로 고소했겠지요? 아무리 대선도 좋지만 남 비난을 적당히들 하셔야지~ 대선중에만 남 비난 순서대로 보면 김문수 1등, 이준석 2등, 이재명 3등, 권영국 4등입니다. 정말이지 언제까지 얼만큼을 뻔뻔하려는지~ 대선때는 그래도 된다고 누가그래요?"
news,연합뉴스,이재명,사이좋게 온 가족이 앉아서 남의 욕이나 하는 가족도 별반 좋은것 같지 않음
news,연합뉴스,이재명,넌 공약이 없냐? 이재명만 물고 늘어지냐? 얼마나 못나고 자신없고 자격지심에 쩔어있으몃 남까고 험담하고 남탓하는 것밖에 할 줄 모르는지? 이딴게 뭔 대통령후보라고. 국짐당 수준이 다 짐덩어리 암덩어리 수준밖에 안된다.
news,연합뉴스,이재명,ㅋㅋㅋㅋ 님이 더하지 않나요?ㅋㅋㅋㅋ
news,연합뉴스,이재명,이죄명 유시민 사형
news,연합뉴스,이재명,내란수괴와 전광훈이 에게 굽신굽신 거리는 본인이나 창피한줄 알아라.
news,연합뉴스,이재명,선거가 끝나면 김문수는 어떻게 될까? 국민의 힘에서 그의 역할을 인정해줄까? 갑자기 궁금해진다
news,연합뉴스,이재명,"너랑 끌어안었던 한덕수가 너는 입만 열면 거짓말 한다고 했다, 김문수야. 이재명 욕과 거짓말 밖에는 할줄 아는게 없는 김문수야 이제 며칠 있으면 너 볼일 읎다."
news,연합뉴스,이재명,거짓말은 국짐당 따라갈수없지~ 죄다 모르쇠~ 거짓말 ~ 들키면 입닥꾹
news,연합뉴스,이재명,오히려 좌파 댓글 천국이네
news,연합뉴스,이재명,"노동부장관 출신, 노조위원장 출신 부부! 근데 노조 개무시!"
news,연합뉴스,이재명,소방헬기를 왜 백번 넘게 타고 다녀요? 불난 날에도. 법카 5천만원 사적으로 쓰는건 괜찮아요? 거짓말 밥 먹듯이 하는건 김문수 너다. 능력도 없는게 어디서 설치냐?
news,연합뉴스,이재명,김문수는 깨끗해서 전과7범 인가?
news,연합뉴스,이재명,능력없는 전과7범 문수야 우리는 거짓말하던 말던 우리는 능력자을 뽑는다 네가보기는 거짓말이지 내가듯기는 전부맞는말 나이70십넘어 10억짜리집 있다는게 자랑이니 어디기부한것도아니고
news,연합뉴스,이재명,전광훈과 극우짓을 밥먹듯이 하는 김문수 내란공범으로 교도소에서 콩밥을 먹게 해야
